clean_text,polarity,subjectivity,location
Five felonies counting The Brennan Cardinal spirit strong guy,0.433333333,0.733333333,"Windsor, Ontario"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
'400 surface-to-air missiles 'STOLEN Libya Benghazi attack says whistle-blowers attorney Daily Mai…,0,0,
If 's saying 's chance definite probably Therefore HE needs invest…,0,0.5,Canada
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,New York
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,
John Brennan Susan Rice Nancy Pelosi Joe Biden ... knew Eric Ciaramella Adam Schiff 'whistleblower ... .…,0,0,USA
Brennan Clapper one person flip regarding coup We know,0,0,New York City
Brennan Clapper one person flip regarding coup We know,0,0,"St Charles, MO"
It 's word `` backup '' We want real thing backup real thing We want …,0.2,0.3,United States
Brennan admitted much “ Every thing direction President ” I believe sa…,0.2,0.2,
offensive coordinator Robert Anae confirmed WR Hasise Dubois eected play Saturday Duke Anae s…,0.4,1,
Whistleblower Tapes Trump Wiretapped “ A Zillion Times ” By ‘ The Hammer ’ Brennan ’ Clapper ’ Secret Computer System…,-0.4,0.7,
I ’ sure asked Stuart Brennan would blame Liverpool,0.5,0.888888889,"Scotland, United Kingdom"
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,"Arizona, USA"
Listen President Trump say corruption Obama administration goes way Obama.️ By naming Comey Cl…,0,0,Tennessee
Cesar link,0,0,"Denver, CO"
Hi unroll asked Thread `` 1. imagine dinner Washington DC Oc…,0,0,
Brennan Clapper one person flip regarding coup We know,0,0,
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,AMERICA
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,"Phoenix, AZ"
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,
You everything secret Room talk Like secret room 're really plotting assass…,-0.2,0.533333333,"England, United Kingdom"
JUDGEMENT DAY IS COMING IT ’ S ALMOST HERE TIME FOR PAIN TRAITORS MUST PAY THE COST OF TREASON OBAMA CLINTON …,0,0,Heart of America
Trump turns Lindsey Graham `` He ought find happened Comey happened McCabe Lisa happen…,0,0,With the tired huddled masses
Brennan Clapper one person flip regarding coup We know,0,0,United States
**cough** THE DEPARTED **cough**,0,0,Chicago
I never thought I ’ live see day,0.136363636,0.5,
Donie Brennan ratified new manager Laois ladies football team Maggie Murphy Daniel O ’ Ne…,0.136363636,0.454545455,"Laois, Offaly and Westmeath "
It 's word `` backup '' We want real thing backup real thing We want …,0.2,0.3,
They 're impeachment inquiry behind closed doors *assassination* plot POTUS Brennan leading…,-0.25,0.4,Brookhaven Ga
`` Society weakened inequality '' John Brennan The Social Pillar SDGs must…,0.033333333,0.066666667,
After years Russia Collusion bull…,0,0,
Lol Brennan started flip live tv.. going get interesting..,0.478787879,0.566666667,
Brennan Clapper one person flip regarding coup We know,0,0,
I get spend entire day filling narcotics eating chili listening riddim Dreams come true,0.175,0.6375,
I mean let 's get real If Obama Hillary Bill Schiff Comey Lynch Clapper Brennan Any asshole…,-0.05625,0.49375,Midland Tx.
That 's I need read know CRIME MINISTER every bit corrupt scum we…,-0.4,0.7,"North America, Earth"
