clean_text,polarity,subjectivity,location
Y'all swear y'all masochist 's time get flu shot,0.0,0.0,"Philadelphia, PA"
Hey boy flu strain Cuz 're sick af,-0.7142857142857143,0.8571428571428571,The Sea of Tranquility
I wan na cry bud sick I get like unfair I got Dam flu shot,-0.4714285714285715,0.669047619047619,in dat ho
Fever Shivers The flu ’ hit sit ups,0.0,0.0,The Room of Requirement
I get one I asthma The one time I ’ get I ended bacterial viral…,0.0,0.0,Ohio
I got flu shot weekend means I n't wash hands ALL WINTER LONG baby,-0.05,0.4,"Colorado, a master class in gentrifying"
…,0.0,0.0,
The cooler nights milder days early fall best time protect loved ones Get flu va…,0.6,0.4666666666666666,"Hattiesburg, MS"
I got flu shot today protecting patients ... get yet,0.0,0.0,Brussel Europa
Did cold flu season get best Click link receive free Thera…,0.26666666666666666,0.7000000000000001,
I got flu shot weekend means I n't wash hands ALL WINTER LONG baby,-0.05,0.4,USA
cuffing season flu season cus I ’ sick played,-0.7142857142857143,0.8571428571428571,United States
TFW get flu shot without parental force feeling mega-adult uber-mature,0.0,0.0,"Lawrence, Kansas"
After years life I finally gotten first flu shot You ’ welcome America,0.35000000000000003,0.7444444444444445,
feel like im getting flu ... go bio work right close..haha ... ... ... ...,0.2857142857142857,0.5357142857142857,"Chicago, IL"
Did cold flu season get best Click link receive free Theraflu Sick…,0.26666666666666666,0.7000000000000001,
Sorry Nocturnals Nocturne today Our GM Mood GM Flu today We return Darkness next week,-0.25,0.5,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Please get flu shots year 's flu incredibly unpleasant,-0.6499999999999999,0.95,"Southern Ontario, Canada"
YH19-19 BOB Martin Dangers getting FLU SHOT It Flue shot season may good eerience…,0.7,0.6000000000000001,Vancouver BC Canada
I survived injection part flu jab Now get psychosomatic symptoms,0.0,0.0,God's Own Manchester
got flu shot yesterday regret feel sick hehe,-0.7142857142857143,0.8571428571428571,damian 
Allotted hours getting blood draw X Ray flu shot Dr. appointment today efficienc…,0.0,0.0,"The Vast Flat Center, CA"
Students — get free flu vaccine today Bring BayCard wear short sleeves,0.2,0.55,"Hayward, CA"
The CDC recommends everyone months old get vaccinated end month …,0.1,0.2,Worldwide
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
In need cold flu symptom relief Click free Theraflu Sick Ki…,-0.30476190476190473,0.8857142857142857,
Get flu home family 's comfort,0.0,0.0,Abu Dhabi
Did cold flu season get best Click link receive you…,0.2,0.65,
Great see many staff getting flu jabs helping protect others,0.65,0.625,
Had go road trip Day Flu My roommate Day I got driv…,0.0,0.0,Florida
Can woman get man flu cause I wan na complain act like I ’ dying,-0.2,0.15000000000000002,"New Brunswick, Canada "
took months current job cry work today set new record taking months pass out…,0.06818181818181818,0.42727272727272725,PA | KY | NC
Well first tweet blew So 's PSA • Abortion healthcare • The gender pay gap real • Love love • Im…,0.5,0.611111111111111,
Join Park City Library Saturday October :00 a.m.-4:00 p.m. celebrate health Free flu shots for…,0.4,0.8,"Park City, UT"
Flu season Protect recommendations,0.0,0.0,Connecticut & Rhode Island
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
The flu allergies 🤷‍️🤷‍️,0.0,0.0,"Bronx, NY"
Tis flu season Medical Lead Dr. answer questions ge…,0.0,0.0,"San Francisco, CA"
Did cold flu season get best Click link receive free Theraflu Sick Ki…,0.021428571428571436,0.7392857142857143,
I always get flu shot Even though I ca n't remember I ever flu life But…,0.0,0.0,"Riverside, CA"
Being immunized flu ’ reduce number sick days take,-0.7142857142857143,0.8571428571428571,"Chicago, Sometimes."
Grocery delivery services Seriously shipt amazing even later month old I ’ w…,0.0916666666666667,0.44166666666666665,United States
Another child severely affected He 's ok several days ventilator lengthy hospital s…,0.25,0.25,"here, until i'm gone"
Flu shots Free toxicity level part Population control strategy,0.4,0.8,"North Carolina, USA"
The Spanish flu pandemic prompted memorials kind Writer Allison C Meier elores scarce si…,0.3,0.45,"Thornton in Bradforddale, UK "
gt really wan na get flu kiss,-0.2,0.15000000000000002,La Squadra Hideout
I min meetings get always amazing Penn flu shot clinic needed ’ 11 ” Woul…,0.6000000000000001,0.9,"Philadelphia, PA"
Longing sick day essentials get cold flu season C…,-0.6571428571428571,0.9285714285714286,
I got flu shot The pharmacist openly told smokes cannabis amp wished friends would He…,0.0,0.5,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
The weather changing leaves turning cold amp flu season upon us.🧟‍️ say BOO Flu vaccinating yourself…,-0.6,1.0,
The flu allergies 🤷‍️🤷‍️,0.0,0.0,"Bronx, NY"
never one also never flu,0.0,0.0,heaven don't have a name
Never flu shot flu maybe twice life Mostly I kid And nop…,0.5,0.5,"Texas, USA"
Flu shot got arm hurting last year shit hurting week,-0.1,0.43333333333333335,
So I stopped flu getting worse using organic products So proud,0.2,0.8,"Hawthorne, CA"
stomach flu feeling straight high rn,0.18,0.47,ur dreams
That year swine flu broke MADDDDDDDD No one could go anywhere around anyone ksksks,0.0,0.0,
eternal elixir nectar gods sweeter honey precious wine—nyquil severe cold flu,-0.04999999999999999,1.0,"im just s,itting here"
When 're flu freezing cold sweating profusely bad nightmares,-0.6499999999999999,0.8333333333333333,Palette Falls Village
hows gov gon na give free flu shot make pay thr doctors visit get flu,0.4,0.8,everywhere
Cold flu season upon us Help keep healthy getting flu shot,-0.04999999999999999,0.75,"Durham Region, Ontario, Canada"
The symptoms watch child ’ fever cough caused something serious like flu RSV pneum…,-0.3333333333333333,0.6666666666666666,USA 🇺🇸
Guernsey gingerbread hospital like ambulance boat patient getting flu…,0.0,0.0,London
Children flu Here ’ need know preventing treating flu,0.0,0.0,"Wisconsin, USA"
Are suffering sores minor wounds colds coughs flu rashes acne burns Get Bio Silver oz Form…,-0.05,0.2,"Phoenix, AZ"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
This herbused treatment cold flu symptoms respiratory conditions •is effective reducing…,0.0,0.9,Road To Zion
friend said ’ northern ’ immune flu WE,0.0,0.0,she/her !! 18+
These steps help keep flu contained even 's entered home,0.0,0.0,
I finally started feeling keto flu today everyone thinks I ’ crazy bc I ’ excited feeling sick th…,-0.23482142857142857,0.8767857142857143,The great state of Texas 
Thanks ’ man flu ’ touch go whether I ’ pull,0.2,0.2,"Brecon Beacons, Wales, UK"
I ’ finna get flu games today I ’ disappointed 🤡🤡,-0.75,0.75,ferrer.a
wo n't even work China Xi 's taking back control private firms Alibaba reverting China a…,0.0,0.1875,Mars
The flu shot INACTIVE strains flu causes sick give flu I asked do…,-0.7142857142857143,0.8571428571428571,"Texas, USA"
Flu season started 's 'll want get sooner rather later …,0.0,0.0,"Miami, FL"
Did cold flu season get best Click link receive free Therafl…,0.26666666666666666,0.7000000000000001,
She says `` costs go '' From The full artificially high price charged insura…,0.255,0.5449999999999999,Tweets are not an endorsement
Happy current future RXT 's Our program partnered to…,0.26666666666666666,0.5083333333333333,"Washington, DC"
Cough cough* I flu,0.0,0.0,"Cape Town, South Africa"
I really hope one know love died flu…,0.35,0.4,
OH MY GOD IT 'S FLU SHOT DAY I LOVE FEELING AMBIVALENT ABOUT PROTECTING MYSELF FROM DEADLY VIRUSES WHILST ALSO MAXI…,0.15,0.5,⬡ 從海到湖 ⬡
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
Although `` natural immune response may cause people develop low-grade fever headache overall muscl…,0.05,0.2,"Portland, Oregon"
Probiotics could help save billions health care costs associated flu-like infections…,0.0,0.0,United Kingdom
FREE FLU SHOTS Our first clinic Fri La Crescenta Library pm No health insurance requ…,0.325,0.5666666666666667,"Los Angeles County, California"
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
These steps help keep flu contained even 's entered home,0.0,0.0,
I going honest I bit nervous year ’ urging get…,0.6,0.9,glocal // sofl
Under weather Save 2.00 one 1 TYLENOL® Cough Cold amp Flu product gt gt,-0.6,1.0,
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Did cold flu season get best Click link receive free Theraflu Sick…,0.26666666666666666,0.7000000000000001,
You man flu,0.0,0.0,"South Pennines, Great Britain"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Did cold flu season get best Click link receive free Theraflu…,0.26666666666666666,0.7000000000000001,
How flu actually kill people The short morbid answer cases body kills trying heal…,0.0,0.2,San Francisco
The annual commenced staff flu vaccination help protect colleagu…,0.0,0.0,"Sussex, Kent, Surrey (UK)"
Rushing Back live Red Rocks,0.04545454545454545,0.16666666666666666,México
ANOTHER flu shot DEATH A friend gym lost brother flu vaccine He received vaccine face swe…,0.0,0.0,
Pregnant A flu shot protect baby flu season The shot even protect baby t…,0.3333333333333333,0.5,"Memphis, TN"
In need cold flu symptom relief Click free Theraflu Sick Kit,-0.30476190476190473,0.8857142857142857,
Flu season upon us Guelph,0.0,0.0,"Guelph, Ontario, Canada"
Cold flu season around corner Here tips stay healthy reduce spread infectio…,-0.04999999999999999,0.75,"St. Thomas, Ontario, Canada and Woodstock, Ontario, Canada"
Won ’ get one I actually get flu,0.0,0.1,thats a secret 
We awesome little cafe T.C Douglas Building ... flu shots coffee th anyone …,0.40625,0.75,
`` From amp amp pandemic every president recent decades faced internatio…,0.0,0.25,"Geneva, Switzerland; DC, USA"
“ Bro remind get flu shot later tonight ”,0.0,0.0,
It 's Wednesday The good news 's humpday The bad news 's beginning flu season Children mo…,5.551115123125783e-17,0.6333333333333333,"South Carolina, USA"
In need cold flu symptom relief Click free Theraflu Sick…,-0.09999999999999998,0.9,
Longing sick day essentials get cold flu season Click,-0.6571428571428571,0.9285714285714286,
`` Caught autism '' like 's flu,0.0,0.0,"Point Pleasant, NJ"
I fighting cold makes think I n't time sick As enter flu season 's `` 5…,-0.6571428571428571,0.9285714285714286,Connecticut
Can woman get man flu cause I wan na complain act like I ’ dying,-0.2,0.15000000000000002,"San Antonio, TX  Hilo, HI"
Did cold flu season get best Click link receive fr…,0.2,0.65,
