clean_text,polarity,subjectivity,location
My youth group Toronto Public Health hosting youth town hall next week vaping Speakers talk a…,0,0.033333333,"Toronto, Ontario"
Finally good news,0.7,0.6,
Not get overly excited I believe 're seeing bit slowdown negative press vaping With s…,0.0375,0.575,
kids jon kate plus vaping yet,0,0,
kids jon kate plus vaping yet,0,0,
also I would like everyone take second think harmful nicotine bodies I used vape…,0,0,stuck in the labyrinth*
hate vaping worries twitter thing please,-0.8,0.9,"Mission Viejo, CA"
Can new safer better e-cigarette fix vaping industry 's crisis That 's Juul 's former top scientist banking w…,0.284090909,0.363636364,"Istanbul, Turkey"
Ron Orr asks whether need act urgently ban vaping Health Minister Tyler Shandro says 's monitor…,0,0,Edmonton
kids jon kate plus vaping yet,0,0,PHX
Not sure whey anyone would think sucking chemical laced fluid lungs good idea At least cigs I…,0.0375,0.497222222,"Billings, Mt"
Dr. Hays elains vaping actually works ... discusses 's recent findings on…,0,0.175,"Washington, DC"
Not really I wish people n't smoke general 's sake I 'm asthmat…,-0.025,0.35,none of your business 
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite firm…,0.1,0.1,
Great point It 's obvious 's going People vaping decade 's suddenly problem 🤨,0.266666667,0.583333333,Kekistan
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite firm…,0.1,0.1,"Lake Charles, LA"
It ’ th birthday That exactly want believe Real fans know died vape…,0.225,0.275,"Belmont, CA"
Still vaping It 's bad 's fake news x,-0.6,0.833333333, Highlands Scotland
walk around streets vaping I automatically hate,-0.8,0.9,
If You 're Over And Vape You Most Likely Had A Tech Deck In Your Hoodie Pocket In Highschool Too,0.25,0.75,Ontario-SUDBURY-CANADA
This sums quickly Please take time learn industry condemning…,0.333333333,0.5,"South Carolina, USA"
Why fuck vape juice tast like throw I left Gabby ’ sink,-0.2,0.3,"Santa Clarita, CA"
I guess I 'm dead I vaping years may I rest peace,-0.2,0.4,
As cannabis vaping set become legal public health eerts urge strict control via,0.1,0.133333333,"Victoria, BC, Canada"
Hey bro cool I blow money stoner rock band The Vape takes,0.35,0.65,my dad
kids jon kate plus vaping yet,0,0,
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite firm…,0.1,0.1,
dont inhale vape im scared,0,0,pusstown
kids jon kate plus vaping yet,0,0,they/them
It 's complicated quitting smoking,-0.5,1,New York City
Can vaping impair fertility New study finds pregnant mice eed five times week e-cigarette v…,0.234848485,0.477272727,"New York, New York"
"There ,000 adult vapers perhaps even importantly million smokers Michiga…",0.25,0.65,North Carolina
kids jon kate plus vaping yet,0,0,🛸
In Wisconsin doctors Children 's Hospital used extensive patient histories piece together missing link among clus…,-0.1,0.191666667,
cases vaping-related illness Mass reported CDC,0,0,"Boston, MA"
Wick Liquor Contra high end Vapes available …,0.28,0.47,Behind a large vape cloud
Vape Pen w/ Cartridge,0,0,
Myvapors Roak Box Pod Kit Review Vapersourcing Review,0,0,"England, United Kingdom"
I love ’ always holding damn vape haha Love girl proud,0.5,0.625,
kids jon kate plus vaping yet,0,0,
risks especially youth Help protect health teens engaging meaningful conversation wit…,0.3,0.733333333,"British Columbia, Canada"
`` We saddened news deaths troubled many Minnesotans continue suffer th…,0,0.75,"Fargo, ND"
kids jon kate plus vaping yet,0,0,ur moms
Vaping trade group run ads Fox News via,0,0,
The Vapor Technology Association launching advertising blitz “ Vaping least percent safer smoking But…,-0.3,0.4,
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite firm…,0.1,0.1,Wilson NC
I 'm concerned youth vaping rates nicotine THC current health crisis They 're separate is…,0,0.4,California
kids jon kate plus vaping yet,0,0,"Houston, TX"
You know truth Do n't play hands Big Tobacco banning flavors It n't hurt wo n't stop teen…,0,0.1,"South Carolina, USA"
You vaping,0,0,"Omaha, NE"
Calgary-based receives Health Canada processing licence time infused edibles f…,0,0,"Calgary, Alberta, Canada"
nicotine vapes please damn research talk ass consider regulations ba…,0,0,"California, USA"
So vape broke minutes ago I 'm already struggling,0,0,Liverpool
kids jon kate plus vaping yet,0,0,
See guys DC Rally Bet wont call us bots see numbers,0,0,"Mansfield, TX"
Still believe 're manipulated lied Govt Email govt workers marketing company di…,0,0,
"Dedicated vape shops help avg smokers quit/month many say I 'll conservative There ,000…",0.5,0.5,
I I real person sitting home office pajama 's comfy slippers …,0.2,0.3,
kids jon kate plus vaping yet,0,0,"Santa Clarita, CA"
Philadelphia joining crackdown vaping new legislation proposing restricting sale flavored e-cigarettes…,0.136363636,0.454545455,
What hypocrisy Mr. President While leading attack vaping industry I know recognize witch hunt…,0,0,"West Fargo, ND"
The District partnered provide Grade -12 students electronic cigarette vaping education Les…,0,0,"Hopedale, NL"
This Is Your Body On Vaping,0,0,
Mr president I watched hearing e ecigarettes today appears still wanting t…,0,0,"South Carolina, USA"
vaping got,0,0,brighton • she/her
PAVe mom Meredith Berkman testimony morning describes vaping `` serious adolescent public-health c…,-0.333333333,0.666666667,
My theory vape deaths caused rare interaction/reaction components generally considered safe Like…,0.283333333,0.633333333,"Oregon, USA"
No 's wrong governor thinks `` RIGHT '' decided adults state the…,0.267857143,0.717857143,"Bellows Falls, Vermont"
In Congress CDC 's Anne Schuchat suggests e-cig 's popularity created culture vaping `` whatever cartridge…,0,0,
Every year tech-horror film released ’ like “ There ’ monster kills ... webcam ” …,0,0,EBDBBNB
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite firm…,0.1,0.1,
NYT Regs Stall Amid Between Officials via,0,0,Rawalpindi
It suprise congressional dems pushing anti vaping anti business agenda the…,0,0,Iowa
The Vapor Technology Association launching advertising blitz “ Vaping least percent safer smoki…,-0.3,0.4,Wilson NC
A South Carolina lawmaker plans introduce bill make sale vaping products illegal,-0.5,0.5,"North Carolina, USA"
Would n't funny showed White House November th dressed robot costumes I 'm obviously jokin…,0.083333333,0.5,
Live — Assembly Joint Informational Hearing Vaping Tobacco Cannabis Products,0.136363636,0.5,"Sacramento, CA"
Every year tech-horror film released ’ like “ There ’ monster kills ... webcam ” …,0,0,"Leith, Edinburgh"
"Dedicated vape shops help avg smokers quit/month many say I 'll conservative There ,000…",0.5,0.5,"West Fargo, ND"
kids jon kate plus vaping yet,0,0,DC
Just casual reminder 's really marketing youth Public Health Tobacco Control telling kids `` you…,-0.1,0.377777778,"Virginia, USA"
What 's take Vape flavor ban,0,0,
kids jon kate plus vaping yet,0,0,"Barcelona, Spain"
How choose consume cannabis ’ government ’ business I support smoking vaping way…,0,0,Cortez Colorado
I guess I 'm dead I vaping years may I rest peace,-0.2,0.4,"South Carolina, USA"
announced vaping bill protect kids buying harmful products a…,0,0,
kids jon kate plus vaping yet,0,0,
Vaping health concerns cast haze market eansion,0,0,"ÜT: 50.953278,-113.978785"
`` The lung damage -related illnesses looks like chemical burn industrial accident mustard g…,0,0.4,"New York, NY"
The following facts help understand vape mods,0,0.1,
kids jon kate plus vaping yet,0,0,"Oklahoma, USA"
🤞Please 'Vapermort'🤞 🤞Please 'Vapermort'🤞 🤞Please 'Vapermort'🤞 🤞Please 'Vapermort'🤞,0,0,
Damn I thought threw vape away,0,0,Long Beach
dont know vape stuff looking dick balls,0,0,the graveyard
Would n't funny showed White House November th dressed robot costumes I 'm obviously jokin…,0.083333333,0.5,North Carolina
Another vaping-related lung injury reported Washington state,0,0,Seattle
Every year tech-horror film released ’ like “ There ’ monster kills ... webcam ” …,0,0,Southampton/Norwich
This young man thought would harmless fumes shut lungs nearly died…,0.1,0.4,"New York, NY"
Now ’ saying ’ poly hinting ’ looking partners man like bitch firs…,0,0,SLC
kids jon kate plus vaping yet,0,0,"Elgin, IL"
This thing opens ton vape billows Im inside playing gameboy,0,0,
Every year tech-horror film released ’ like “ There ’ monster kills ... webcam ” …,0,0,"Glasgow, Scotland"
Society addressing vaping issues heroin epidemic laughable,-0.5,1,
CALL TO ACTION Columbia Missouri Council Considers FLAVORED VAPE BAN Please call email council polite bu…,0.1,0.1,"St. Louis, Missouri"
It 's obvious someone big behind farcical anti-vaping campaign Nearly every concert venue on…,-0.14,0.42,"Houston, Texas, USA"
